"taxon","model","seed","AUCtrain","AUCtest","maxKappatrain","maxKappatest"
"PopLirio","MAXNET",8848,0.6847579376,0.6670033024,0.2834,0.26004
"PopLirio","GLM",8848,0.684697776,0.6786705296,0.27852,0.28164
"Quercus","GAM",2037,0.9080798376,0.906461776,0.65756,0.65308
"Quercus","RF",2037,0.999995704,0.953520264,0.99888,0.77052
"Quercus","GBM",2037,0.9386287056,0.9274204936,0.73288,0.70104
"Quercus","MAXNET",2037,0.9064647032,0.9069264224,0.6528,0.65452
"Quercus","GLM",2037,0.884651532,0.883836192,0.60676,0.60656
"Quercus","GAM",4392,0.9109891192,0.910462816,0.66324,0.66212
"Quercus","RF",4392,0.999998628,0.9556197328,0.99888,0.77128
"Quercus","GBM",4392,0.9401497448,0.9304399072,0.7298,0.70068
"Quercus","MAXNET",4392,0.909923012,0.9101587296,0.6596,0.65968
"Quercus","GLM",4392,0.8870182792,0.8880905424,0.61448,0.6188
"Quercus","GAM",6190,0.9102069264,0.9056352384,0.6624,0.655
"Quercus","RF",6190,0.9999977312,0.9537201776,0.99888,0.77724
"Quercus","GBM",6190,0.9383852616,0.9272183504,0.73264,0.7062
"Quercus","MAXNET",6190,0.9089321152,0.9060998624,0.65792,0.65264
"Quercus","GLM",6190,0.8873469296,0.8824919728,0.61444,0.607
"Quercus","GAM",6960,0.908923148,0.9094533712,0.65792,0.6596
"Quercus","RF",6960,0.999997372,0.9535325368,0.99888,0.76892
"Quercus","GBM",6960,0.9396410416,0.930233968,0.73164,0.71244
"Quercus","MAXNET",6960,0.9090220088,0.910065464,0.65628,0.66188
"Quercus","GLM",6960,0.8870721032,0.8878041232,0.61216,0.61704
"Quercus","GAM",8848,0.9062363616,0.9097482784,0.64896,0.65884
"Quercus","RF",8848,0.9999992128,0.9558118808,0.99904,0.77436
"Quercus","GBM",8848,0.9380878096,0.931075152,0.72864,0.7092
"Quercus","MAXNET",8848,0.905286664,0.9086268608,0.64764,0.65508
"Quercus","GLM",8848,0.8822768464,0.8867834752,0.60576,0.61016
"Thuja","GAM",2037,0.9415398864,0.9385599872,0.75948,0.75552
"Thuja","RF",2037,1,0.9696913992,1,0.82072
"Thuja","GBM",2037,0.960766292,0.9457077,0.81736,0.77924
"Thuja","MAXNET",2037,0.9360161168,0.9329711872,0.743,0.73976
"Thuja","GLM",2037,0.9336714192,0.9321595936,0.738,0.74112
"Thuja","GAM",4392,0.9432121488,0.941683992,0.76372,0.75096
"Thuja","RF",4392,1,0.9691973904,1,0.81612
"Thuja","GBM",4392,0.96234964,0.9482768008,0.8212,0.77216
"Thuja","MAXNET",4392,0.9340415504,0.9318651104,0.73188,0.73236
"Thuja","GLM",4392,0.9352841872,0.9346845904,0.74424,0.73236
"Thuja","GAM",6190,0.9421054936,0.9402329632,0.76164,0.75724
"Thuja","RF",6190,0.9999999992,0.9648205272,0.99996,0.80544
"Thuja","GBM",6190,0.9611549624,0.9449463456,0.81868,0.7754
"Thuja","MAXNET",6190,0.9351049288,0.93154472,0.73728,0.73552
"Thuja","GLM",6190,0.9345770696,0.9331897824,0.74268,0.73868
"Thuja","GAM",6960,0.9431157696,0.9454976656,0.75968,0.7742
"Thuja","RF",6960,1,0.9706198232,1,0.82852
"Thuja","GBM",6960,0.9626583632,0.9516217304,0.82224,0.792
"Thuja","MAXNET",6960,0.9353638672,0.9381213136,0.73868,0.748
"Thuja","GLM",6960,0.934893416,0.9403450608,0.73976,0.7562
"Thuja","GAM",8848,0.9419803832,0.941854016,0.75848,0.756
"Thuja","RF",8848,0.9999999016,0.972456828,0.99996,0.83112
"Thuja","GBM",8848,0.9611709664,0.9496702128,0.8176,0.7828
"Thuja","MAXNET",8848,0.9318088904,0.9317122432,0.7346,0.73124
"Thuja","GLM",8848,0.9343256328,0.9347536272,0.73776,0.73444
"Tilia","GAM",2037,0.780176368,0.7675399248,0.4198,0.41308
"Tilia","RF",2037,1,0.8372900176,1,0.50024
"Tilia","GBM",2037,0.8846749984,0.8056897096,0.62028,0.47136
"Tilia","MAXNET",2037,0.715457728,0.7083645568,0.33668,0.3358
"Tilia","GLM",2037,0.7462675344,0.749541936,0.37356,0.39416
"Tilia","GAM",4392,0.7830483088,0.772410544,0.4316,0.42256
"Tilia","RF",4392,1,0.8334424864,1,0.51432
"Tilia","GBM",4392,0.8831132112,0.80727312,0.62208,0.47412
"Tilia","MAXNET",4392,0.738921312,0.74326792,0.37524,0.38492
"Tilia","GLM",4392,0.747879704,0.7516754512,0.3824,0.38204
"Tilia","GAM",6190,0.781559472,0.7668657376,0.42348,0.41036
"Tilia","RF",6190,1,0.832286828,1,0.4968
"Tilia","GBM",6190,0.8830997936,0.7879143792,0.61664,0.42712
"Tilia","MAXNET",6190,0.74447316,0.7228765456,0.37648,0.342
"Tilia","GLM",6190,0.7483008272,0.7404935728,0.37752,0.38932
"Tilia","GAM",6960,0.7824171088,0.7682560736,0.43348,0.40096
"Tilia","RF",6960,1,0.845402204,1,0.51932
"Tilia","GBM",6960,0.8823321872,0.8039860104,0.62072,0.45056
"Tilia","MAXNET",6960,0.7194491696,0.7010465232,0.34052,0.30372
"Tilia","GLM",6960,0.7512771008,0.7440784992,0.38268,0.3734
"Tilia","GAM",8848,0.781951872,0.7694736352,0.43264,0.40424
"Tilia","RF",8848,1,0.8421549376,1,0.51664
"Tilia","GBM",8848,0.8848464456,0.8051047376,0.62712,0.47224
"Tilia","MAXNET",8848,0.702840424,0.704034584,0.30808,0.30732
"Tilia","GLM",8848,0.749968144,0.7467035776,0.38784,0.37484
"Tsuga","GAM",2037,0.8539353696,0.8516849616,0.60128,0.59896
"Tsuga","RF",2037,0.9999995712,0.9303376152,0.99972,0.70708
"Tsuga","GBM",2037,0.9113611528,0.8851344416,0.69316,0.6426
"Tsuga","MAXNET",2037,0.851148792,0.8506592368,0.5964,0.5988
"Tsuga","GLM",2037,0.833279784,0.8299838064,0.56264,0.56088
"Tsuga","GAM",4392,0.8577365696,0.8515336464,0.60344,0.5992
"Tsuga","RF",4392,0.99999308,0.9312108096,0.99968,0.71516
"Tsuga","GBM",4392,0.9133152568,0.8866594816,0.69628,0.65536
"Tsuga","MAXNET",4392,0.8569951744,0.8518423392,0.6004,0.59852
"Tsuga","GLM",4392,0.8393485104,0.8320660304,0.5682,0.56372
"Tsuga","GAM",6190,0.8550872144,0.8497439408,0.59824,0.60056
"Tsuga","RF",6190,0.9999969088,0.9327018728,0.99964,0.7178
"Tsuga","GBM",6190,0.9126206432,0.8844468752,0.69224,0.65656
