"site","COVERTYPE","LRU2","drain","chem","text","form","ntrees","prop","Abies","Acer","Aesculus","Alnus","Betula","Carya","Castanea","Celtis","Cercis","Cornus","Crataegus","Cupressaceae","Fagus","Fraxinus","Juglans","Larix","Morus","NyssaLiquidambar","OstryaCarpinus","Picea","Pinus","Platanus","PopLirio","Prunus","Quercus","RobiniaGleditsia","Salix","Sassafras","Thuja","Tilia","Tsuga","Ulmus"
"94C dry spodic sandy plains","JACK PINE-RED PINE FOREST","94C","dry","spodic","sandy","plains",184,13.8,0,1.6,0,0,1.1,0,0,0,0,0,0,0,0.5,0,0,5.4,0,0,0,2.2,81.5,0,2.2,0,1.1,0,0,0,2.7,0,1.6,0
"94C moist typic loamy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","94C","moist","typic","loamy","plains",372,26.6,2.4,13.7,0,0,7.5,0,0,0,0,0,0,0,24.2,3,0,2.7,0,0,0.8,0.5,4,0,2.7,0,0,0,0,0,19.4,0.8,17.2,1.1
"94C dry typic loamy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","94C","dry","typic","loamy","plains",586,65.3,1.2,19.3,0,0,4.1,0,0,0,0,0,0,0,37.7,1.5,0,0.3,0,0,0.5,1,1,0,0.7,0,0.2,0,0,0,11.6,0.7,18.9,1.2
"94AB dry typic loamy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","94AB","dry","typic","loamy","plains",1401,56.7,0.7,16.7,0,0,3.6,0.1,0,0,0,0,0,0,33.3,1.6,0,1.2,0,0,0.7,0.8,5.8,0,1,0.1,0.6,0,0,0,6.1,2,24.7,1.1
"94C dry typic loamy plains","CEDAR SWAMP","94C","dry","typic","loamy","plains",116,12.9,4.3,2.6,0,0,5.2,0,0,0,0,0,0,0,6.9,2.6,0,6,0,0,0,2.6,6.9,0,0.9,0,0,0,0,0,44,0,17.2,0.9
"94AB moist typic loamy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","94AB","moist","typic","loamy","plains",1123,34,0.8,14.7,0,0.2,4.4,0,0,0,0,0,0,0,34.5,2.7,0,2.3,0,0,0.5,0.7,5.9,0,1.5,0,0.3,0,0,0,6,1.3,23.2,1.1
"94AB dry typic loamy plains","MIXED CONIFER SWAMP","94AB","dry","typic","loamy","plains",111,4.5,0,9.9,0,0,4.5,0,0,0,0,0,0,0,3.6,2.7,0,9.9,0,0,0,5.4,22.5,0,2.7,0,1.8,0,0,0,16.2,0,18,2.7
"94AB dry typic loamy plains","CEDAR SWAMP","94AB","dry","typic","loamy","plains",118,4.8,0,5.9,0,0.8,1.7,0,0,0,0,0,0,0,8.5,1.7,0,1.7,0,0,0,2.5,18.6,0,4.2,0,0,0,0,0,32.2,0,19.5,2.5
"94AB moist typic loamy plains","MIXED CONIFER SWAMP","94AB","moist","typic","loamy","plains",315,9.5,4.8,6,0,0,3.2,0,0,0,0,0,0,0,7.3,3.2,0,14.3,0,0,0.3,4.4,13.7,0,6.7,0,0.6,0,0,0,18.7,0.3,15.6,1
"94AB moist dysic sandy plains","CEDAR SWAMP","94AB","moist","dysic","sandy","plains",247,10.6,5.7,2.4,0,0,5.7,0,0,0,0,0,0,0,2.8,2.4,0,10.1,0,0,0,2.8,13.8,0,6.1,0,0,0,0,0,32,0,13.8,2.4
